Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
PROOF Collective,903,100,100,35,"1,000","35,000.00",903,"1,000"
Emotes by Heart You,651,72,58.8,1.1,843,885.2,"1,128","1,433"
ENS: Ethereum Name Service,435,48,,0,"1,290",11.5,"256,267","555,870"
Dead Ringers: Edition by Dmitri Cherniak,275,30,,0,275,13.2,"21,194",1
Woodies Generative Characters,168,19,7.8,0.4,710,291.1,"3,638","9,124"
adidas Originals Into the Metaverse,139,15,,1,139,137.6,"22,127",1
Rarible,137,15,0.2,0,741,0,"205,328","310,799"
Rubber Duckz,131,15,12.8,0.2,256,43.5,956,"2,000"
Elite Ape Entry Coins,112,12,,0.1,112,15.7,"11,496",1
Meebits,112,12,2,3.6,404,"1,474.20","5,720","20,000"
BrainDrops,107,12,12.2,0.2,796,119.4,"2,082","6,524"
MetaHero Universe: Planet Tokens,105,12,,0.4,483,173.9,"11,585",11
Rug Radio Membership Pass,102,11,0.9,0.3,167,45.1,"13,645","19,000"
Foundation (FND),99,11,0.6,0.1,704,49.3,"17,257","118,984"
Mutant Ape Yacht Club,99,11,0.9,21.7,154,"3,338.70","11,678","17,939"
Cyber Factory 2,97,11,,1.3,110,148.3,"9,281",5
Rug Radio - Genesis NFT,95,11,0.9,1.3,177,230.1,"10,700","19,000"
Zipcy's SuperNormal,95,11,2.8,1.6,248,396.8,"4,891","8,888"
PUNKS Comic,94,10,2.4,0.2,562,137.1,"8,027","23,204"
Chromie Squiggle by Snowfro,92,10,3.5,7.2,322,"2,315.20","2,239","9,271"
Angry Ape Army Evolution Collection,89,10,1.8,0.5,179,89.3,"3,406","10,000"
RTFKT - MNLTH,88,10,,4.5,88,399.5,"8,607",1
RTFKT PodX,87,10,,1.2,87,100.1,"8,586",1
CLONE X - X TAKASHI MURAKAMI,87,10,2,16,382,"6,112.00","8,174","18,813"
The Aquatica Collection,87,10,56.2,0.1,169,10.1,167,301
Bored Ape Yacht Club,86,10,1.2,100,123,"12,300.00","6,298","10,000"
Flamingo Flutter,86,10,11.4,0.3,158,45.8,815,"1,388"
Creature World,83,9,1.6,1.2,158,187.9,"6,168","10,000"
CryptoArte,82,9,2,0.2,195,29.3,"3,491","9,894"
WGMI Premium Membership,82,9,2.4,0.2,85,17.7,"3,342","3,489"
CrypToadz by GREMPLIN,77,9,2.1,2.9,148,429.1,"3,842","7,025"
The Sandbox ASSETS,71,8,10.8,0,193,2.5,"26,469","1,796"
VeeFriends,71,8,1.3,13,130,"1,683.50","5,199","10,255"
TOKYO PUNKS by SABET,71,8,3.3,0.2,159,38.2,"2,921","4,850"
Bonsai by ZENFT,71,8,1.7,0.2,147,23.5,"2,770","8,888"
BFF Friendship Bracelets,69,8,1.2,0.8,78,62.3,"6,282","6,806"
ZORBS by ZORA,68,8,0.5,0,270,3,"32,816","56,741"
KnownOrigin,68,8,0.5,0,233,4.1,"9,821","47,942"
Adam Bomb Squad,67,7,0.8,1,199,203,"8,745","24,999"
Cool Cats NFT,67,7,1.4,11,135,"1,485.00","5,154","9,933"
Gallery Premium Membership Cards,64,7,,0.4,69,26.9,"1,062",7
Async Blueprints,62,7,3.1,0,164,6.4,"2,201","5,261"
Doodles,59,7,1.1,14.6,106,"1,547.60","5,972","10,000"
TIMEPieces x Robotos,58,6,,0,62,2.2,"7,605",10
Bored Ape Kennel Club,58,6,1,9.3,100,932,"5,423","9,602"
LinksDAO,57,6,1.3,0.7,120,79.9,"5,300","9,090"
Ben Mezrich Project - Meme Stock Collection,57,6,2.1,0.1,125,9.4,"3,099","6,000"
LOSTPOETS,56,6,1.3,0.8,369,287.8,"8,454","27,665"
Cool Pets NFT,56,6,1.3,2,102,208.1,"3,950","7,673"
CryptoPunks,56,6,1.5,70,146,"10,212.70","3,382","9,999"
POAP,54,6,0.2,0.1,80,8.8,"21,272","34,494"
World of Women,54,6,1.5,9.8,154,"1,507.70","5,051","10,000"
ZenAcademy,54,6,,1.2,58,68.4,"5,018",2
Gallery General Membership Cards,54,6,,0.1,54,4.2,"1,226",1
SuperRare,53,6,0.8,0.2,220,41.8,"6,093","29,411"
Obits Official,53,6,2,0.1,144,11.1,"2,946","7,132"
ChainFaces Arena,52,6,0.6,0,165,5.4,"6,072","26,969"
Azuki,52,6,0.9,11,86,946,"5,440","10,000"
Worldwide Webb Land,52,6,1.1,1.5,100,149.9,"4,790","9,508"
Parallel Alpha,51,6,,0,506,8.6,"32,525",383
NFTBoxes,51,6,2.7,0,"1,156",11.4,"4,271","43,617"
Terraforms by Mathcastles,51,6,3.2,0.3,312,93.6,"2,327","9,906"
Quantum Curated,51,6,13,0.9,207,176,742,"1,598"
CryptoKitties,50,6,0,0,347,0,"113,332","2,010,711"
TIMEPiece Minting Passes,49,5,0.5,0,58,2.8,"10,853","12,405"
Deadfrenz Lab Access Pass,49,5,,0.6,58,37.1,"5,951",5
DeadFellaz,48,5,0.8,3.2,81,257.2,"6,021","9,998"
Wolf Game - Genesis Land,48,5,2.1,0.4,415,148.9,"5,418","19,972"
The Sandbox,47,5,0.2,5,227,"1,132.70","19,178","131,086"
888 Inner Circle The Drops,47,5,2.4,0,174,3.5,"7,035","7,233"
DEGENERATE/REGENERATE,47,5,1.5,0.1,112,12.3,"4,138","7,400"
Tom Sachs: ROCKET FACTORY PATCHES,46,5,0.9,0,56,0,"5,826","6,083"
Larva Lads,46,5,1.9,0.1,93,10.2,"2,718","5,000"
GEN.ART Membership,46,5,1.6,0.3,83,21.6,"2,413","5,100"
Uniswap V3 Positions,45,5,0.1,0,96,0,"52,508","185,583"
Hashmasks,45,5,0.6,0.8,102,85.2,"5,129","16,370"
LIT Project Two: Motion,45,5,1.6,0.1,74,5.8,"3,617","4,619"
Poolsuite - Executive Member,45,5,4.9,1.5,123,178.4,"1,993","2,500"
Fyat Lux (Dawn Collection),44,5,2.1,0.1,169,14,"4,029","8,080"
Pukenza,44,5,1.4,0.1,115,16.3,"3,682","8,010"
Bored Doodle Punk Club,44,5,6.9,0,172,2.6,935,"2,500"
MakersPlace,43,5,0.2,0,153,3.8,"15,213","81,107"
SUPERPLASTIC: Cryptojankyz,43,5,0.5,0.4,68,23.8,"5,813","13,868"
LIT Project Two: Flux,43,5,1.1,0.1,47,2.8,"4,073","4,369"
IlluminatiNFT,43,5,1.6,0.4,127,48.9,"3,777","8,128"
10KTF Stockroom,43,5,,0,115,4,"3,578",14
First First NFTs,43,5,3.8,0,190,8.4,"1,810","5,000"
Robotos Official,42,5,0.8,1.1,76,83.2,"5,615","9,999"
Avastars,42,5,0.6,0.1,156,21.8,"4,955","25,450"
Sacred Skulls (Official),42,5,1.2,0.1,107,15.9,"4,122","8,888"
Stoner Cats,41,5,1,0.3,106,31.8,"5,141","10,419"
The Wanderers,41,5,0.9,0.3,79,27.3,"4,260","8,888"
More Loot,40,4,0.2,0,224,0.7,"22,239","125,854"
mfers,40,4,1.5,0.9,149,140.1,"4,788","10,021"
Party Degenerates,40,4,1.1,0.3,113,28.7,"3,741","10,000"
Toy Boogers Special Editions,39,4,,0,50,0.5,"5,638",4
JPG PEOPLE by Debbie Tea,39,4,1.7,0,147,2.9,"4,577","8,888"
Jenkins the Valet: The Writer's Room,39,4,1.4,1.5,95,142.5,"2,818","6,942"
FVCK_CRYSTAL//,39,4,1.5,2.3,64,147.2,"2,057","4,169"
Platon Genesis NFT Collection,39,4,,0.4,49,17.2,128,14
The Meta Key,38,4,,0.3,57,19.1,"6,102",4
Crypto Coven,38,4,0.8,2.2,76,165.6,"4,683","9,757"
CyberKongz VX,38,4,0.9,2.1,127,271.8,"4,519","14,773"
MEV Army,38,4,1.1,0.2,111,18.8,"3,944","9,999"
Loot (for Adventurers),38,4,1.1,2.6,89,230.5,"2,556","7,779"
