name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Rug Radio - Genesis NFT,87,9.59,0.89,0.32,178,56.96,10278,20000.0
Larva Doods,9,0.99,0.46,0.0,41,0.0,4225,8888.0
PROOF Collective,907,100.0,100.0,30.5,1000,30500.0,907,1000.0
Chromie Squiggle by Snowfro,145,15.99,4.34,6.9,403,2780.7000000000003,2297,9281.0
Grails by PROOF Collective,609,67.14,83.01,2.98,860,2562.8,688,1036.0
Elemental by Fang Lijun,175,19.29,10.68,0.5,216,108.0,1210,2022.0
Confecta by Nick Kuder,17,1.87,23.0,1.4,23,32.199999999999996,79,100.0
The Kiss Precise,82,9.04,17.74,0.15,132,19.8,453,744.0
- TronWars -,12,1.32,0.19,0.1,17,1.7000000000000002,5038,8888.0
Monster Ape Club | MAC,4,0.44,0.06,0.06,5,0.3,4237,7998.0
Queens+Kings,385,42.45,8.27,0.17,587,99.79,2618,7098.0
mfers,47,5.18,1.82,2.1,182,382.2,5051,10020.0
the pixels inc,4,0.44,0.14,0.04,7,0.28,1995,5062.0
Light Cult Crypto Club,5,0.55,0.19,0.03,17,0.51,1526,8979.0
Blockchain Adventures Of Bella The Blue Bot,8,0.88,0.54,0.04,17,0.68,1534,3149.0
Bufficorn Buidl Brigade,13,1.43,0.15,0.05,15,0.75,4153,10000.0
Smilesssvrs ::),20,2.21,0.45,0.93,39,36.27,4526,8736.0
Wall St Bulls,3,0.33,0.03,0.16,3,0.48,3717,10000.0
Sers,1,0.11,0.08,0.05,1,0.05,575,1196.0
Wonky Stonks,5,0.55,0.21,0.04,18,0.72,4605,8736.0
GRILLZ GANG TICKET,28,3.09,0.16,0.0025,29,0.0725,17767,18238.0
GRILLZ GANG,11,1.21,0.3,0.03,16,0.48,2835,5362.0
The Heart Project,20,2.21,0.34,0.29,34,9.86,5910,9860.0
Dapper Dinos Karma Collective,2,0.22,0.36,0.75,2,1.5,422,555.0
Dapper Dinos NFT,10,1.1,0.2,0.14,20,2.8000000000000003,4261,9974.0
Stoner Cats,36,3.97,0.81,0.3,84,25.2,5065,10419.0
ENS: Ethereum Name Service,423,46.64,0.19,0.005,1194,5.97,287380,628566.0
Void by Alexis André,11,1.21,3.0,0.62,15,9.3,219,500.0
MoonCats,37,4.08,0.39,0.43,74,31.82,5597,18967.0
Emotes by Heart You,576,63.51,52.9,0.39,758,295.62,1097,1433.0
Obits Official,57,6.28,2.09,0.05,149,7.45,2960,7132.0
The CAPTCHAs,36,3.97,2.55,0.0,99,0.0,1598,3879.0
Meebits,109,12.02,2.31,3.1,461,1429.1000000000001,5742,20000.0
The Sandbox,47,5.18,0.24,2.8,389,1089.1999999999998,20204,165480.0
Digital Surrealism V2,1,0.11,100.0,0.0,1,0.0,1,1.0
Shackled Genesis,76,8.38,15.62,0.07,160,11.200000000000001,398,1024.0
Censored*,57,6.28,0.19,0.0,57,0.0,29766,29766.0
Dead Ringers: Edition by Dmitri Cherniak,263,29.0,26300.0,0.04,263,10.52,20429,1.0
The Tiger Archives - PMC x Tiger Beer,16,1.76,0.39,0.02,26,0.52,2803,6685.0
Sacred Skulls (Official),28,3.09,0.74,0.08,66,5.28,4032,8888.0
The Sleepless Mine Society Official,1,0.11,0.33,0.01,2,0.02,319,611.0
NOT VALID,1,0.11,0.21,0.02,2,0.04,434,943.0
Rarible,136,14.99,0.29,0.0,900,0.0,208579,312872.0
Neo Tokyo Outer Lands,9,0.99,0.24,0.4,9,3.6,3398,3803.0
Lil PXL Badz,5,0.55,0.45,0.01,15,0.15,1394,3333.0
Neo Tokyo Outer Item Caches,11,1.21,0.26,0.3,11,3.3,3767,4275.0
The Aquatica Collection,75,8.27,47.87,0.03,146,4.38,168,305.0
NeoTokyo Outer Identities,10,1.1,0.22,2.65,10,26.5,4106,4495.0
Teen Rebel Ape Club,7,0.77,0.43,0.02,31,0.62,1786,7136.0
Queens+Kings Traits,50,5.51,6.74,0.01,565,5.65,445,8384.0
Teen Rebel Ape Club - Milk Serums,5,0.55,140.0,0.02,7,0.14,516,5.0
Pixel Squids NFT,3,0.33,0.16,0.0013,8,0.0104,638,5000.0
CryptoKitties,44,4.85,0.02,0.0,315,0.0,114242,2011068.0
Zombie Frens,2,0.22,0.05,0.01,5,0.05,3503,9182.0
Girlies NFT,28,3.09,0.6,0.08,60,4.8,4457,9999.0
XTOADZ Collection,10,1.1,3.03,0.0,101,0.0,1227,3333.0
Coolman's Universe,25,2.76,0.65,1.1,65,71.5,5663,10000.0
DEGENERATE/REGENERATE,42,4.63,1.51,0.1,112,11.200000000000001,4111,7400.0
ASM AIFA All-Stars,28,3.09,1.18,0.15,345,51.75,3154,29300.0
ASM Brains,27,2.98,1.94,3.16,142,448.72,2581,7325.0
BrainDrops,107,11.8,10.28,0.06,794,47.64,2268,7720.0
Che-Yu Wu x Nobody,4,0.44,1.01,0.05,11,0.55,477,1092.0
Meridian by Matt DesLauriers,35,3.86,5.8,5.6,58,324.79999999999995,611,1000.0
Woodies Generative Characters,169,18.63,7.08,0.2,690,138.0,3834,9739.0
Platon Genesis NFT Collection,37,4.08,335.71,0.29,47,13.629999999999999,127,14.0
Grifters by XCOPY,41,4.52,8.26,7.4,55,407.0,536,666.0
G.I. Toadz,16,1.76,0.76,0.05,53,2.6500000000000004,2719,6969.0
Space Doodles,26,2.87,1.04,9.5,48,456.0,2524,4603.0
Where My Vans Go **,2,0.22,5.66,63.0,3,189.0,44,53.0
HOWLERZ,11,1.21,0.82,0.24,41,9.84,2304,5000.0
Blushy Bubs,1,0.11,0.18,0.0,1,0.0,472,549.0
Toadz Dickbutts,1,0.11,0.64,0.01,20,0.2,175,3149.0
The Doggies (Snoop Dogg),22,2.43,0.34,0.36,34,12.24,6884,10000.0
Morphs Official,5,0.55,2.7,0.0,724,0.0,5017,26814.0
RaidParty Fighters,4,0.44,0.08,0.69,6,4.14,562,7829.0
